"Source:","/home/grau/ISS/Projet_MOSH/2021_2022_Saillard_Grau/Demo-kicad/Demo-kicad.kicad_sch"
"Date:","mar. 23 nov. 2021 10:55:20"
"Tool:","Eeschema 6.0.0-rc1-bf2b03b42f~115~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","5"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","provider"
"","","D1","LED","Device:LED","LED_THT:LED_D5.0mm","~",""
"","","D2","LED","Device:LED","LED_THT:LED_D5.0mm","~",""
"","","J1","Alim","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~",""
"","","R1","470","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Farnell"
"","","R2","470","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Farnell"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","provider"
"1","2","D1, D2","LED","Device:LED","LED_THT:LED_D5.0mm","~",""
"2","1","J1","Alim","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~",""
"3","2","R1, R2","470","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Farnell"
